Date,site,IGBPname,Landcover,ID,co2,LE,Rln,Prcp,Pa,Rs,Tavg,VPD,U2,LAI,Albedo,Emiss
2005-5-27,IT-Cpz,EBF,2,96,389.3935,55.24481008,349.003,0,100.606125,317.0774583,21.32729167,0.857447917,1.837854167,2.4205,0.11917,0.98307
2004-9-10,US-SRM,WSA,8,146,371.9092708,26.33274583,354.75,0,88.90635417,287.5472917,27.80897917,3.148791667,2.222104167,0.31807,0.17631,0.974
2011-11-9,BE-Lon,CRO,12,28,447.0546667,8.446873146,305.13125,0,99.8375,69.49791667,12.73304167,0.223066667,2.245833333,1.6876,0.17,0.98639
2011-11-14,AU-ASM,ENF,1,5,359.5395833,6.174636667,420.4166667,0,94.25354167,187.8125,29.71208333,3.157454167,1.900208333,0.50021,0.10577,0.974
2013-12-27,US-Tw1,WET,11,149,458.1569792,14.71643844,299.9552917,0,102.3551042,81.46458333,5.545770833,0.2363125,0.597583333,0.72665,0.099811,0.98434
2013-6-23,IT-Cp2,EBF,2,95,418.8016667,81.03025946,337.294,0,101.3854167,318.75,22.33541667,0.568235417,2.50625,2.0973,0.10706,0.98334
2009-11-15,US-ARM,CRO,12,125,401.9228333,10.26587479,344.0712708,8.8,97.54277083,14.96660417,8.698354167,0.091625,4.426291667,0.73365,0.18103,0.98521
2013-1-19,US-Myb,WET,11,137,443.337875,18.95740188,251.64325,0.1,102.5252083,140.4161458,5.687291667,0.314958333,0.674291667,1.1033,0.11843,0.984
2003-7-14,US-WCr,DBF,4,157,357.70425,9.5759725,353.0251458,2.411,95.11045833,155.9645417,19.40941667,0.2605,3.5375,3.4443,0.177,0.98195
2004-12-23,IT-Ro1,DBF,4,104,384.1117708,7.212937583,227.6643333,0,99.93541667,90.54302083,3.339354167,0.188133333,2.032916667,0.50856,0.11096,0.9841
2010-10-11,US-AR2,GRA,10,122,383.8657292,43.11093333,327.4333542,0,93.8831875,169.5580417,14.81877083,0.356270833,3.884875,0.41205,0.17679,0.98556
